Number,Transaction
679,[2014-01-21 23:06:34] - Zdeno Chara average salary was modify from 6 900 000 $ to 6 900 000 $.
680,[2014-01-21 23:06:34] - Carl Hagelin average salary was modify from 900 000 $ to 900 000 $.
681,[2014-01-21 23:06:34] - Gabriel Landeskog average salary was modify from 900 000 $ to 900 000 $.
682,[2014-01-21 23:06:34] - Vyacheslav Voynov average salary was modify from 900 000 $ to 900 000 $.
683,[2014-01-21 23:06:34] - Sami Vatanen average salary was modify from 600 000 $ to 600 000 $.
684,[2014-01-21 23:06:34] - Vladimir Tarasenko average salary was modify from 900 000 $ to 900 000 $.
685,[2014-01-21 23:06:34] - Kaspars Daugavins average salary was modify from 900 000 $ to 900 000 $.
686,[2014-01-21 23:06:34] - Konrad Abeltshauser average salary was modify from 900 000 $ to 900 000 $.
687,[2014-01-21 23:06:34] - Evgeny Kuznetsov average salary was modify from 900 000 $ to 900 000 $.
688,[2014-01-21 23:06:34] - Richard Panik average salary was modify from 800 000 $ to 800 000 $.
689,[2014-01-21 23:06:34] - Mark Streit average salary was modify from 3 500 000 $ to 3 500 000 $.
690,[2014-01-21 23:06:34] - Sven Baertschi average salary was modify from 900 000 $ to 900 000 $.
691,[2014-01-21 23:06:34] - Roman Josi average salary was modify from 900 000 $ to 900 000 $.
692,[2014-01-21 23:06:34] - Max Sauve average salary was modify from 900 000 $ to 900 000 $.
693,[2014-01-21 23:06:34] - Mikael Granlund average salary was modify from 800 000 $ to 800 000 $.
694,[2014-01-21 23:06:34] - Alexander Radulov average salary was modify from 1 800 000 $ to 1 800 000 $.
695,[2014-01-21 23:06:34] - Philip Gogulla average salary was modify from 800 000 $ to 800 000 $.
696,[2014-01-21 23:06:34] - Sven Andrighetto average salary was modify from 750 000 $ to 750 000 $.
697,[2014-01-21 23:06:34] - Martin Marincin average salary was modify from 900 000 $ to 900 000 $.
698,[2014-01-21 23:06:34] - Martin Gernat average salary was modify from 900 000 $ to 900 000 $.
699,[2014-01-21 23:06:34] - Alex Galchenyuk average salary was modify from 900 000 $ to 900 000 $.
700,[2014-01-21 23:06:34] - Jakob Silfverberg average salary was modify from 900 000 $ to 900 000 $.
701,[2014-01-21 23:06:34] - Zemgus Girgensons average salary was modify from 900 000 $ to 900 000 $.
702,[2014-01-21 23:06:34] - Olli Maatta average salary was modify from 850 000 $ to 850 000 $.
703,[2014-01-21 23:06:34] - Nail Yakupov average salary was modify from 900 000 $ to 900 000 $.
704,[2014-01-21 23:06:34] - Antoine Roussel average salary was modify from 900 000 $ to 900 000 $.
705,[2014-01-21 23:06:34] - Damien Brunner average salary was modify from 3 000 000 $ to 3 000 000 $.
706,[2014-01-21 23:06:34] - Theodor Blueger average salary was modify from 600 000 $ to 600 000 $.
707,[2014-01-21 23:06:34] - Patrick Thoresen average salary was modify from 950 000 $ to 950 000 $.
708,[2014-01-21 23:06:34] - Aleksander Barkov average salary was modify from 900 000 $ to 900 000 $.
709,[2014-01-21 23:06:34] - Michael Raffl average salary was modify from 800 000 $ to 800 000 $.
710,[2014-01-21 23:06:34] - Oliver Lauridsen average salary was modify from 675 000 $ to 675 000 $.
711,[2014-01-21 23:06:34] - Yevgeni Medvedev average salary was modify from 1 500 000 $ to 1 500 000 $.
712,[2014-01-21 23:06:34] - Leo Komarov average salary was modify from 700 000 $ to 700 000 $.
713,[2014-01-21 23:06:34] - Mirco Mueller average salary was modify from 450 000 $ to 450 000 $.
714,[2014-01-21 23:06:34] - Marko Dano average salary was modify from 800 000 $ to 800 000 $.
715,[2014-01-21 23:06:34] - Raman Hrabarenka average salary was modify from 925 000 $ to 925 000 $.
716,[2014-01-21 23:06:34] - Valeri Nichushkin average salary was modify from 900 000 $ to 900 000 $.
717,[2014-01-21 23:06:34] - Andrej Sustr average salary was modify from 900 000 $ to 900 000 $.
718,[2014-01-21 23:06:34] - Marcel Hossa average salary was modify from 830 000 $ to 830 000 $.
719,[2014-01-21 23:06:34] - Rasmus Ristolainen average salary was modify from 900 000 $ to 900 000 $.
720,[2014-01-21 23:06:34] - Martins Karsums average salary was modify from 625 000 $ to 625 000 $.
721,[2014-01-21 23:06:34] - Martins Cipulis average salary was modify from 0 $ to 0 $.
722,[2014-01-21 23:06:34] - Vitalijs Pavlovs average salary was modify from 0 $ to 0 $.
723,[2014-01-21 23:06:34] - Mikelis Redlihs average salary was modify from 0 $ to 0 $.
724,[2014-01-21 23:06:34] - Janis Sprukts average salary was modify from 0 $ to 0 $.
725,[2014-01-21 23:06:34] - Sandis Ozolinsh average salary was modify from 0 $ to 0 $.
726,[2014-01-21 23:06:34] - Ronalds Kenins average salary was modify from 0 $ to 0 $.
727,[2014-01-21 23:06:34] - Herbert Vasiljevs average salary was modify from 0 $ to 0 $.
728,[2014-01-21 23:06:34] - Armands Berzins average salary was modify from 0 $ to 0 $.
729,[2014-01-21 23:06:34] - Lauris Darzins average salary was modify from 0 $ to 0 $.
730,[2014-01-21 23:06:34] - Juris Stals average salary was modify from 0 $ to 0 $.
731,[2014-01-21 23:06:34] - Arvids Rekis average salary was modify from 0 $ to 0 $.
732,[2014-01-21 23:06:34] - Georgijs Pujacs average salary was modify from 0 $ to 0 $.
733,[2014-01-21 23:06:34] - Krisjanis Redlihs average salary was modify from 0 $ to 0 $.
734,[2014-01-21 23:06:34] - Kristaps Sotnieks average salary was modify from 0 $ to 0 $.
735,[2014-01-21 23:06:34] - Ralfs Freibergs average salary was modify from 0 $ to 0 $.
736,[2014-01-21 23:06:34] - Miks Indrasis average salary was modify from 0 $ to 0 $.
737,[2014-01-21 23:06:34] - Matthias Iberer average salary was modify from 0 $ to 0 $.
738,[2014-01-21 23:06:34] - Andrea Kristler average salary was modify from 0 $ to 0 $.
739,[2014-01-21 23:06:34] - Thomas Koch average salary was modify from 0 $ to 0 $.
740,[2014-01-21 23:06:34] - Manuel Latusa average salary was modify from 0 $ to 0 $.
741,[2014-01-21 23:06:34] - Brian Lebler average salary was modify from 0 $ to 0 $.
742,[2014-01-21 23:06:34] - Thomas Raffl average salary was modify from 0 $ to 0 $.
743,[2014-01-21 23:06:34] - Roland Kaspitz average salary was modify from 0 $ to 0 $.
744,[2014-01-21 23:06:34] - Marco Pewal average salary was modify from 0 $ to 0 $.
745,[2014-01-21 23:06:34] - Rafael Rotter average salary was modify from 0 $ to 0 $.
746,[2014-01-21 23:06:34] - Daniel Oberkofler average salary was modify from 0 $ to 0 $.
747,[2014-01-21 23:06:34] - Dominic Zwerger average salary was modify from 0 $ to 0 $.
748,[2014-01-21 23:06:34] - Layne Viveiros average salary was modify from 0 $ to 0 $.
749,[2014-01-21 23:06:34] - Martin Oraze average salary was modify from 0 $ to 0 $.
750,[2014-01-21 23:06:34] - Matthias Trattnig average salary was modify from 0 $ to 0 $.
751,[2014-01-21 23:06:34] - Daniel Welser average salary was modify from 0 $ to 0 $.
752,[2014-01-21 23:06:34] - Robert Lukas average salary was modify from 0 $ to 0 $.
753,[2014-01-21 23:06:34] - Florian Iberer average salary was modify from 0 $ to 0 $.
754,[2014-01-21 23:06:34] - Gerhard Unterluggauer average salary was modify from 0 $ to 0 $.
755,[2014-01-21 23:06:34] - Thomas Pock average salary was modify from 0 $ to 0 $.
756,[2014-01-21 23:06:34] - Sascha Goc average salary was modify from 0 $ to 0 $.
757,[2014-01-21 23:06:34] - Bernhard Ebner average salary was modify from 0 $ to 0 $.
758,[2014-01-21 23:06:34] - Justin Krueger average salary was modify from 0 $ to 0 $.
759,[2014-01-21 23:06:34] - Patrick Reimer average salary was modify from 0 $ to 0 $.
760,[2014-01-21 23:06:34] - Daniel Pietta average salary was modify from 0 $ to 0 $.
761,[2014-01-21 23:06:34] - Andre Rankel average salary was modify from 0 $ to 0 $.
762,[2014-01-21 23:06:34] - Michael Wolf average salary was modify from 0 $ to 0 $.
763,[2014-01-21 23:06:34] - Jerome Flaake average salary was modify from 0 $ to 0 $.
764,[2014-01-21 23:06:34] - Alexander Barta average salary was modify from 0 $ to 0 $.
765,[2014-01-21 23:06:34] - Felix Schutz average salary was modify from 0 $ to 0 $.
766,[2014-01-21 23:06:34] - Leon Draisaitl average salary was modify from 0 $ to 0 $.
767,[2014-01-21 23:06:34] - Petri Kontiola average salary was modify from 0 $ to 0 $.
768,[2014-01-21 23:06:34] - Ossi Vaananen average salary was modify from 0 $ to 0 $.
769,[2014-01-21 23:06:34] - Lasse Kukkonen average salary was modify from 0 $ to 0 $.
770,[2014-01-21 23:06:34] - Jarkko Immonen average salary was modify from 0 $ to 0 $.
771,[2014-01-21 23:06:34] - Roman Wick average salary was modify from 0 $ to 0 $.
772,[2014-01-21 23:06:34] - Philippe Furrer average salary was modify from 0 $ to 0 $.
773,[2014-01-21 23:06:34] - Mathias Seger average salary was modify from 0 $ to 0 $.
774,[2014-01-21 23:06:34] - Severin Blindenbacher average salary was modify from 0 $ to 0 $.
775,[2014-01-21 23:06:34] - Andres Ambuhl average salary was modify from 0 $ to 0 $.
776,[2014-01-21 23:06:34] - Matthias Bieber average salary was modify from 0 $ to 0 $.
777,[2014-01-21 23:06:34] - Simon Bodenmann average salary was modify from 0 $ to 0 $.
778,[2014-01-21 23:06:34] - Luca Cunti average salary was modify from 0 $ to 0 $.
779,[2014-01-21 23:06:34] - Ryan Gardner average salary was modify from 0 $ to 0 $.
780,[2014-01-21 23:06:34] - Simon Moser average salary was modify from 0 $ to 0 $.
781,[2014-01-21 23:06:34] - Martin Pluss average salary was modify from 0 $ to 0 $.
782,[2014-01-21 23:06:34] - Kevin Romy average salary was modify from 0 $ to 0 $.
783,[2014-01-21 23:06:34] - Morris Trachsler average salary was modify from 0 $ to 0 $.
784,[2014-01-21 23:06:34] - Nicklas Jensen average salary was modify from 0 $ to 0 $.
785,[2014-01-21 23:06:34] - Patrick Bjorkstrand average salary was modify from 0 $ to 0 $.
786,[2014-01-21 23:06:34] - Morten Green average salary was modify from 0 $ to 0 $.
787,[2014-01-21 23:06:34] - Kirill Starkov average salary was modify from 0 $ to 0 $.
788,[2014-01-21 23:06:34] - Nichlas Hardt average salary was modify from 0 $ to 0 $.
789,[2014-01-21 23:06:34] - Morten Madsen average salary was modify from 0 $ to 0 $.
790,[2014-01-21 23:06:34] - Thor Dresler average salary was modify from 0 $ to 0 $.
791,[2014-01-21 23:06:34] - Mads Eller average salary was modify from 0 $ to 0 $.
792,[2014-01-21 23:06:34] - Stefan Lassen average salary was modify from 0 $ to 0 $.
793,[2014-01-21 23:06:34] - Markus Lauridsen average salary was modify from 0 $ to 0 $.
794,[2014-01-21 23:06:34] - Rasmus Nielsen average salary was modify from 0 $ to 0 $.
795,[2014-01-21 23:06:34] - Daniel Nielsen average salary was modify from 0 $ to 0 $.
796,[2014-01-21 23:06:34] - Mads Boedker average salary was modify from 0 $ to 0 $.
797,[2014-01-21 23:06:34] - Dominik Granak average salary was modify from 0 $ to 0 $.
798,[2014-01-21 23:06:34] - Ivan Baranka average salary was modify from 0 $ to 0 $.
799,[2014-01-21 23:06:34] - Jozef Stumpel average salary was modify from 0 $ to 0 $.
800,[2014-01-21 23:06:34] - Martin Cibak average salary was modify from 0 $ to 0 $.
801,[2014-01-21 23:06:34] - Branko Radivojevic average salary was modify from 0 $ to 0 $.
802,[2014-01-21 23:06:34] - Rudolf Huna average salary was modify from 0 $ to 0 $.
803,[2014-01-21 23:06:34] - Miha Verlic average salary was modify from 0 $ to 0 $.
804,[2014-01-21 23:06:34] - Ales Music average salary was modify from 0 $ to 0 $.
805,[2014-01-21 23:06:34] - Bostjan Golicic average salary was modify from 0 $ to 0 $.
806,[2014-01-21 23:06:34] - Ziga Jeglic average salary was modify from 0 $ to 0 $.
807,[2014-01-21 23:06:34] - Anze Kuralt average salary was modify from 0 $ to 0 $.
808,[2014-01-21 23:06:34] - Ziga Pance average salary was modify from 0 $ to 0 $.
809,[2014-01-21 23:06:34] - Tomaz Razingar average salary was modify from 0 $ to 0 $.
810,[2014-01-21 23:06:34] - David Rodman average salary was modify from 0 $ to 0 $.
811,[2014-01-21 23:06:34] - Marcel Rodman average salary was modify from 0 $ to 0 $.
812,[2014-01-21 23:06:34] - Robert Sabolic average salary was modify from 0 $ to 0 $.
813,[2014-01-21 23:06:34] - Jan Urbas average salary was modify from 0 $ to 0 $.
814,[2014-01-21 23:06:34] - Blaz Gregorc average salary was modify from 0 $ to 0 $.
815,[2014-01-21 23:06:34] - Sabahudin Kovacevic average salary was modify from 0 $ to 0 $.
816,[2014-01-21 23:06:34] - Ales Kranjc average salary was modify from 0 $ to 0 $.
817,[2014-01-21 23:06:34] - Ziga Pavlin average salary was modify from 0 $ to 0 $.
818,[2014-01-21 23:06:34] - Matic Podlipnik average salary was modify from 0 $ to 0 $.
819,[2014-01-21 23:06:34] - Klemen Pretnar average salary was modify from 0 $ to 0 $.
820,[2014-01-21 23:06:34] - Mitja Robar average salary was modify from 0 $ to 0 $.
821,[2014-01-21 23:06:34] - Andrej Tavzelj average salary was modify from 0 $ to 0 $.
822,[2014-01-21 23:06:34] - Pavel Chernook average salary was modify from 0 $ to 0 $.
823,[2014-01-21 23:06:34] - Sergei Demagin average salary was modify from 0 $ to 0 $.
824,[2014-01-21 23:06:34] - Artyom Demkov average salary was modify from 0 $ to 0 $.
825,[2014-01-21 23:06:34] - Vladimir Denisov average salary was modify from 0 $ to 0 $.
826,[2014-01-21 23:06:34] - Andrei Filichkin average salary was modify from 0 $ to 0 $.
827,[2014-01-21 23:06:34] - Oleg Goroshko average salary was modify from 0 $ to 0 $.
828,[2014-01-21 23:06:34] - Alexei Kalyuzhny average salary was modify from 0 $ to 0 $.
829,[2014-01-21 23:06:34] - Alexander Kitarov average salary was modify from 0 $ to 0 $.
830,[2014-01-21 23:06:34] - Konstantin Koltsov average salary was modify from 0 $ to 0 $.
831,[2014-01-21 23:06:34] - Dmitry Korobov average salary was modify from 0 $ to 0 $.
832,[2014-01-21 23:06:34] - Yevgeni Kovyrshin average salary was modify from 0 $ to 0 $.
833,[2014-01-21 23:06:34] - Andrei Bashko average salary was modify from 0 $ to 0 $.
834,[2014-01-21 23:06:34] - Dmitri Meleshko average salary was modify from 0 $ to 0 $.
835,[2014-01-21 23:06:34] - Andrei Mikhalev average salary was modify from 0 $ to 0 $.
836,[2014-01-21 23:06:34] - Andrei Stas average salary was modify from 0 $ to 0 $.
837,[2014-01-21 23:06:34] - Nikolai Stasenko average salary was modify from 0 $ to 0 $.
838,[2014-01-21 23:06:34] - Andrei Stepanov average salary was modify from 0 $ to 0 $.
839,[2014-01-21 23:06:34] - Alexei Ugarov average salary was modify from 0 $ to 0 $.
840,[2014-01-21 23:06:34] - Alexander Bonsaksen average salary was modify from 0 $ to 0 $.
841,[2014-01-21 23:06:34] - Henrik Solberg average salary was modify from 0 $ to 0 $.
842,[2014-01-21 23:06:34] - Daniel Sorvik average salary was modify from 0 $ to 0 $.
843,[2014-01-21 23:06:34] - Ole-Kristian Tollefsen average salary was modify from 0 $ to 0 $.
844,[2014-01-21 23:06:34] - Mats Trygg average salary was modify from 0 $ to 0 $.
845,[2014-01-21 23:06:34] - Henrik Odegaard average salary was modify from 0 $ to 0 $.
846,[2014-01-21 23:06:34] - Mattias Norstebo average salary was modify from 0 $ to 0 $.
847,[2014-01-21 23:06:34] - Morten Ask average salary was modify from 0 $ to 0 $.
848,[2014-01-21 23:06:34] - Anders Bastiansen average salary was modify from 0 $ to 0 $.
849,[2014-01-21 23:06:34] - Robin Dahlstrom average salary was modify from 0 $ to 0 $.
850,[2014-01-21 23:06:34] - Kristian Forsberg average salary was modify from 0 $ to 0 $.
851,[2014-01-21 23:06:34] - Mads Hansen average salary was modify from 0 $ to 0 $.
852,[2014-01-21 23:06:34] - Andreas Martinsen average salary was modify from 0 $ to 0 $.
853,[2014-01-21 23:06:34] - Sondre Olden average salary was modify from 0 $ to 0 $.
854,[2014-01-21 23:06:34] - Ken Andre Olimb average salary was modify from 0 $ to 0 $.
855,[2014-01-21 23:06:34] - Mathis Olimb average salary was modify from 0 $ to 0 $.
856,[2014-01-21 23:06:34] - Niklas Roest average salary was modify from 0 $ to 0 $.
857,[2014-01-21 23:06:34] - Mats Rosseli Olsen average salary was modify from 0 $ to 0 $.
858,[2014-01-21 23:06:34] - Martin Roymark average salary was modify from 0 $ to 0 $.
859,[2014-01-21 23:06:34] - Per-Age Skroder average salary was modify from 0 $ to 0 $.
860,[2014-01-21 23:06:34] - Tim Bozon average salary was modify from 0 $ to 0 $.
861,[2014-01-21 23:06:34] - Loic Lamperier average salary was modify from 0 $ to 0 $.
862,[2014-01-21 23:06:34] - Julien Desrosiers average salary was modify from 0 $ to 0 $.
863,[2014-01-21 23:06:34] - Valentin Claireaux average salary was modify from 0 $ to 0 $.
864,[2014-01-21 23:06:34] - Charles Bertrand average salary was modify from 0 $ to 0 $.
865,[2014-01-21 23:06:34] - Pierre-Edouard Bellemare average salary was modify from 0 $ to 0 $.
866,[2014-01-21 23:06:34] - Teddy Da Costa average salary was modify from 0 $ to 0 $.
867,[2014-01-21 23:06:34] - Damien Fleury average salary was modify from 0 $ to 0 $.
868,[2014-01-21 23:06:34] - Laurent Meunier average salary was modify from 0 $ to 0 $.
869,[2014-01-21 23:06:34] - Sacha Treille average salary was modify from 0 $ to 0 $.
870,[2014-01-21 23:06:34] - Gregory Beron average salary was modify from 0 $ to 0 $.
871,[2014-01-21 23:06:34] - Yohann Auvitu average salary was modify from 0 $ to 0 $.
872,[2014-01-21 23:06:34] - Jonathan Janil average salary was modify from 0 $ to 0 $.
873,[2014-01-21 23:06:34] - Antonin Manavian average salary was modify from 0 $ to 0 $.
874,[2014-01-21 23:06:34] - Thomas Roussel average salary was modify from 0 $ to 0 $.
875,[2014-01-21 23:06:34] - Maxime Moisand average salary was modify from 0 $ to 0 $.
876,[2014-01-21 23:06:34] - Nicolas Besch average salary was modify from 0 $ to 0 $.
877,[2014-01-21 23:06:34] - Kevin Hecquefeuille average salary was modify from 0 $ to 0 $.
878,[2014-01-21 23:06:35] - 2 was add to 350 players Contract who match 'Is in a Team' and 'None' condition.
879,[2014-01-21 23:06:47] - Anders Lindback average salary was modify from 3 000 000 $ to 3 000 000 $.
880,[2014-01-21 23:06:47] - Antti Niemi average salary was modify from 3 800 000 $ to 3 800 000 $.
881,[2014-01-21 23:06:47] - Carey Price average salary was modify from 6 500 000 $ to 6 500 000 $.
882,[2014-01-21 23:06:47] - Cory Schneider average salary was modify from 3 500 000 $ to 3 500 000 $.
883,[2014-01-21 23:06:47] - Viktor Fasth average salary was modify from 4 500 000 $ to 4 500 000 $.
884,[2014-01-21 23:06:47] - Thomas Greiss average salary was modify from 1 100 000 $ to 1 100 000 $.
885,[2014-01-21 23:06:47] - Henrik Lundqvist average salary was modify from 6 875 000 $ to 6 875 000 $.
886,[2014-01-21 23:06:47] - Ilya Bryzgalov average salary was modify from 5 700 000 $ to 5 700 000 $.
887,[2014-01-21 23:06:47] - Jaroslav Halak average salary was modify from 3 750 000 $ to 3 750 000 $.
888,[2014-01-21 23:06:47] - Jaroslav Janus average salary was modify from 900 000 $ to 900 000 $.
889,[2014-01-21 23:06:47] - Jonas Hiller average salary was modify from 4 500 000 $ to 4 500 000 $.
890,[2014-01-21 23:06:47] - Jonathan Quick average salary was modify from 5 500 000 $ to 5 500 000 $.
891,[2014-01-21 23:06:47] - Kari Lehtonen average salary was modify from 5 000 000 $ to 5 000 000 $.
892,[2014-01-21 23:06:47] - Michal Neuvirth average salary was modify from 4 500 000 $ to 4 500 000 $.
893,[2014-01-21 23:06:47] - Mike Smith average salary was modify from 5 000 000 $ to 5 000 000 $.
894,[2014-01-21 23:06:47] - Benjamin Conz average salary was modify from 950 000 $ to 950 000 $.
895,[2014-01-21 23:06:47] - Ondrej Pavelec average salary was modify from 4 500 000 $ to 4 500 000 $.
896,[2014-01-21 23:06:47] - Peter Budaj average salary was modify from 2 200 000 $ to 2 200 000 $.
897,[2014-01-21 23:06:47] - Roberto Luongo average salary was modify from 5 333 332 $ to 5 333 332 $.
898,[2014-01-21 23:06:47] - Ryan Miller average salary was modify from 6 250 000 $ to 6 250 000 $.
899,[2014-01-21 23:06:47] - Sergei Bobrovsky average salary was modify from 5 000 000 $ to 5 000 000 $.
900,[2014-01-21 23:06:47] - Simeon Varlamov average salary was modify from 3 500 000 $ to 3 500 000 $.
901,[2014-01-21 23:06:47] - Tomas Vokoun average salary was modify from 5 500 000 $ to 5 500 000 $.
902,[2014-01-21 23:06:47] - Tuukka Rask average salary was modify from 4 250 000 $ to 4 250 000 $.
903,[2014-01-21 23:06:47] - Reto Berra average salary was modify from 800 000 $ to 800 000 $.
904,[2014-01-21 23:06:47] - Frederik Andersen average salary was modify from 750 000 $ to 750 000 $.
905,[2014-01-21 23:06:47] - Edgars Masalskis average salary was modify from 0 $ to 0 $.
906,[2014-01-21 23:06:47] - Ervins Mustukovs average salary was modify from 0 $ to 0 $.
907,[2014-01-21 23:06:47] - Kristers Gudlevskis average salary was modify from 0 $ to 0 $.
908,[2014-01-21 23:06:47] - Bernhard Starkbaum average salary was modify from 0 $ to 0 $.
909,[2014-01-21 23:06:47] - Fabian Weinhandl average salary was modify from 0 $ to 0 $.
910,[2014-01-21 23:06:47] - Rene Swette average salary was modify from 0 $ to 0 $.
911,[2014-01-21 23:06:47] - Philip Grubauer average salary was modify from 0 $ to 0 $.
912,[2014-01-21 23:06:47] - Dimitrij Kotschnew average salary was modify from 0 $ to 0 $.
913,[2014-01-21 23:06:47] - Simon Nielsen average salary was modify from 0 $ to 0 $.
914,[2014-01-21 23:06:47] - Sebastian Dahm average salary was modify from 0 $ to 0 $.
915,[2014-01-21 23:06:47] - Luka Gracnar average salary was modify from 0 $ to 0 $.
916,[2014-01-21 23:06:47] - Andrej Hocevar average salary was modify from 0 $ to 0 $.
917,[2014-01-21 23:06:47] - Robert Kristan average salary was modify from 0 $ to 0 $.
918,[2014-01-21 23:06:47] - Vitali Koval average salary was modify from 0 $ to 0 $.
919,[2014-01-21 23:06:47] - Andrei Mezin average salary was modify from 0 $ to 0 $.
920,[2014-01-21 23:06:47] - Dmitri Milchakov average salary was modify from 0 $ to 0 $.
921,[2014-01-21 23:06:47] - Lars Haugen average salary was modify from 0 $ to 0 $.
922,[2014-01-21 23:06:47] - Steffen Soberg average salary was modify from 0 $ to 0 $.
923,[2014-01-21 23:06:47] - Lars Volden average salary was modify from 0 $ to 0 $.
924,[2014-01-21 23:06:47] - Fabrice Lhenry average salary was modify from 0 $ to 0 $.
925,[2014-01-21 23:06:47] - Ronan Quemener average salary was modify from 0 $ to 0 $.
926,[2014-01-21 23:06:48] - 2 was add to 47 goalies Contract who match 'Is in a Team' and 'None' condition.
927,[2014-01-21 23:07:06] - 2 was add to 16 coaches Contract who match 'Hired' and 'None' condition.
928,[2014-01-21 23:07:21] - Alexei Emelin average salary was modify from 5 000 000 $ to 5 500 000 $.
929,[2014-01-21 23:07:21] - Ales Hemsky average salary was modify from 5 000 000 $ to 5 500 000 $.
930,[2014-01-21 23:07:21] - Alex Ovechkin average salary was modify from 9 500 000 $ to 10 000 000 $.
931,[2014-01-21 23:07:21] - Alex Pietrangelo average salary was modify from 5 000 000 $ to 5 500 000 $.
932,[2014-01-21 23:07:21] - Alexander Burmistrov average salary was modify from 3 750 000 $ to 4 250 000 $.
933,[2014-01-21 23:07:21] - Alexander Edler average salary was modify from 5 000 000 $ to 5 500 000 $.
934,[2014-01-21 23:07:21] - Alexander Semin average salary was modify from 10 500 000 $ to 11 000 000 $.
935,[2014-01-21 23:07:21] - Alexander Steen average salary was modify from 3 362 500 $ to 3 862 500 $.
936,[2014-01-21 23:07:21] - Alexander Sulzer average salary was modify from 1 200 000 $ to 1 700 000 $.
937,[2014-01-21 23:07:21] - Andrei Kostitsyn average salary was modify from 4 000 000 $ to 4 500 000 $.
938,[2014-01-21 23:07:21] - Andrei Markov average salary was modify from 5 750 000 $ to 6 250 000 $.
939,[2014-01-21 23:07:21] - Andrej Meszaros average salary was modify from 4 000 000 $ to 4 500 000 $.
940,[2014-01-21 23:07:21] - Andrej Sekera average salary was modify from 2 750 000 $ to 3 250 000 $.
941,[2014-01-21 23:07:21] - Anton Volchenkov average salary was modify from 4 250 000 $ to 4 750 000 $.
942,[2014-01-21 23:07:21] - Anze Kopitar average salary was modify from 6 800 000 $ to 7 300 000 $.
943,[2014-01-21 23:07:21] - Artem Anisimov average salary was modify from 2 500 000 $ to 3 000 000 $.
944,[2014-01-21 23:07:21] - Arturs Kulda average salary was modify from 800 000 $ to 1 300 000 $.
945,[2014-01-21 23:07:21] - Blake Wheeler average salary was modify from 5 000 000 $ to 5 500 000 $.
946,[2014-01-21 23:07:21] - Bobby Ryan average salary was modify from 5 100 000 $ to 5 600 000 $.
947,[2014-01-21 23:07:21] - Brent Burns average salary was modify from 5 760 000 $ to 6 260 000 $.
948,[2014-01-21 23:07:21] - Cam Fowler average salary was modify from 4 500 000 $ to 5 000 000 $.
949,[2014-01-21 23:07:21] - Raphael Diaz average salary was modify from 900 000 $ to 1 400 000 $.
950,[2014-01-21 23:07:21] - Christian Ehrhoff average salary was modify from 4 000 000 $ to 4 500 000 $.
951,[2014-01-21 23:07:21] - Claude Giroux average salary was modify from 3 750 000 $ to 4 250 000 $.
952,[2014-01-21 23:07:21] - Corey Perry average salary was modify from 6 750 000 $ to 7 250 000 $.
953,[2014-01-21 23:07:21] - Daniel Sedin average salary was modify from 6 100 000 $ to 6 600 000 $.
954,[2014-01-21 23:07:21] - Dany Heatley average salary was modify from 7 500 000 $ to 8 000 000 $.
955,[2014-01-21 23:07:21] - David Backes average salary was modify from 4 500 000 $ to 5 000 000 $.
956,[2014-01-21 23:07:21] - David Krejci average salary was modify from 5 200 000 $ to 5 700 000 $.
957,[2014-01-21 23:07:21] - Dennis Seidenberg average salary was modify from 3 250 000 $ to 3 750 000 $.
958,[2014-01-21 23:07:21] - Dmitri Kulikov average salary was modify from 2 500 000 $ to 3 000 000 $.
959,[2014-01-21 23:07:21] - Drew Doughty average salary was modify from 7 000 000 $ to 7 500 000 $.
960,[2014-01-21 23:07:21] - Duncan Keith average salary was modify from 5 538 462 $ to 6 038 462 $.
961,[2014-01-21 23:07:21] - Dustin Brown average salary was modify from 3 175 000 $ to 3 675 000 $.
962,[2014-01-21 23:07:21] - Eric Staal average salary was modify from 8 250 000 $ to 8 750 000 $.
963,[2014-01-21 23:07:21] - Erik Johnson average salary was modify from 4 500 000 $ to 5 000 000 $.
964,[2014-01-21 23:07:21] - Erik Karlsson average salary was modify from 8 500 000 $ to 9 000 000 $.
965,[2014-01-21 23:07:21] - Evgeni Malkin average salary was modify from 8 700 000 $ to 9 200 000 $.
966,[2014-01-21 23:07:21] - Evgeny Grachev average salary was modify from 2 500 000 $ to 3 000 000 $.
967,[2014-01-21 23:07:21] - Fedor Tyutin average salary was modify from 4 500 000 $ to 5 000 000 $.
968,[2014-01-21 23:07:21] - Frans Nielsen average salary was modify from 4 000 000 $ to 4 500 000 $.
969,[2014-01-21 23:07:21] - Henrik Sedin average salary was modify from 6 100 000 $ to 6 600 000 $.
970,[2014-01-21 23:07:21] - Henrik Zetterberg average salary was modify from 6 083 300 $ to 6 583 300 $.
971,[2014-01-21 23:07:21] - Ilya Kovalchuk average salary was modify from 6 666 666 $ to 7 166 665 $.
972,[2014-01-21 23:07:21] - Jack Johnson average salary was modify from 4 357 000 $ to 4 857 000 $.
973,[2014-01-21 23:07:21] - Jakub Voracek average salary was modify from 2 400 000 $ to 2 900 000 $.
974,[2014-01-21 23:07:21] - James Wisniewski average salary was modify from 5 000 000 $ to 5 500 000 $.
975,[2014-01-21 23:07:21] - Jamie Benn average salary was modify from 4 500 000 $ to 5 000 000 $.
